.Archetype.,Archetype,metrics,value,data_type
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Prevalence,0.18,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Mean Frequency,1.59,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Median Frequency,1.0,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Frequency per Month,0.01,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Prevalence,0.346,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Mean Frequency,2.76,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Median Frequency,1.0,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Frequency per Quarter,0.06,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Frequency per Month,0.02,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Prevalence,0.115,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Mean Frequency,1.87,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Median Frequency,1.0,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Frequency per Quarter,0.02,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Frequency per Month,0.01,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Standard Deviation,Mean Frequency,0.53,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Standard Deviation,Median Frequency,0.0,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Standard Deviation,Frequency per Quarter,0.02,Diagnosis
Infective Arthritis And Osteomyelitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Standard Deviation,Frequency per Month,0.01,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 1,Prevalence,0.061,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 1,Mean Frequency,1.58,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 1,Median Frequency,1.0,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 1,Frequency per Quarter,0.03,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 1,Frequency per Month,0.01,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 2,Prevalence,0.117,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 2,Mean Frequency,2.03,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 2,Median Frequency,1.0,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 2,Frequency per Quarter,0.03,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 2,Frequency per Month,0.01,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 3,Prevalence,0.147,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 3,Mean Frequency,2.25,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 3,Median Frequency,1.0,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 3,Frequency per Month,0.01,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 4,Prevalence,0.247,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 4,Mean Frequency,2.86,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 4,Median Frequency,1.0,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 4,Frequency per Quarter,0.05,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Archetype 4,Frequency per Month,0.02,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Overall,Prevalence,0.106,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Overall,Mean Frequency,2.12,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Overall,Median Frequency,1.0,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Overall,Frequency per Quarter,0.03,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Overall,Frequency per Month,0.01,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Standard Deviation,Mean Frequency,0.46,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Standard Deviation,Median Frequency,0.0,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Standard Deviation,Frequency per Quarter,0.01,Diagnosis
Inflammation  Infection Of Eye  Except That Caused By Tuberculosis Or Sexually Transmitteddisease ,Standard Deviation,Frequency per Month,0.0,Diagnosis
Influenza,Archetype 1,Prevalence,0.056,Diagnosis
Influenza,Archetype 1,Mean Frequency,1.49,Diagnosis
Influenza,Archetype 1,Median Frequency,1.0,Diagnosis
Influenza,Archetype 1,Frequency per Quarter,0.02,Diagnosis
Influenza,Archetype 1,Frequency per Month,0.01,Diagnosis
Influenza,Archetype 2,Prevalence,0.122,Diagnosis
Influenza,Archetype 2,Mean Frequency,1.83,Diagnosis
Influenza,Archetype 2,Median Frequency,1.0,Diagnosis
Influenza,Archetype 2,Frequency per Quarter,0.03,Diagnosis
Influenza,Archetype 2,Frequency per Month,0.01,Diagnosis
Influenza,Archetype 3,Prevalence,0.151,Diagnosis
Influenza,Archetype 3,Mean Frequency,2.05,Diagnosis
Influenza,Archetype 3,Median Frequency,1.0,Diagnosis
Influenza,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Influenza,Archetype 3,Frequency per Month,0.01,Diagnosis
Influenza,Archetype 4,Prevalence,0.291,Diagnosis
Influenza,Archetype 4,Mean Frequency,2.76,Diagnosis
Influenza,Archetype 4,Median Frequency,1.0,Diagnosis
Influenza,Archetype 4,Frequency per Quarter,0.05,Diagnosis
Influenza,Archetype 4,Frequency per Month,0.02,Diagnosis
Influenza,Overall,Prevalence,0.109,Diagnosis
Influenza,Overall,Mean Frequency,2.0,Diagnosis
Influenza,Overall,Median Frequency,1.0,Diagnosis
Influenza,Overall,Frequency per Quarter,0.02,Diagnosis
Influenza,Overall,Frequency per Month,0.01,Diagnosis
Influenza,Standard Deviation,Mean Frequency,0.47,Diagnosis
Influenza,Standard Deviation,Median Frequency,0.0,Diagnosis
Influenza,Standard Deviation,Frequency per Quarter,0.01,Diagnosis
Influenza,Standard Deviation,Frequency per Month,0.0,Diagnosis
Malaise And Fatigue,Archetype 1,Prevalence,0.344,Diagnosis
Malaise And Fatigue,Archetype 1,Mean Frequency,1.84,Diagnosis
Malaise And Fatigue,Archetype 1,Median Frequency,1.0,Diagnosis
Malaise And Fatigue,Archetype 1,Frequency per Quarter,0.24,Diagnosis
Malaise And Fatigue,Archetype 1,Frequency per Month,0.13,Diagnosis
Malaise And Fatigue,Archetype 2,Prevalence,0.481,Diagnosis
Malaise And Fatigue,Archetype 2,Mean Frequency,2.81,Diagnosis
Malaise And Fatigue,Archetype 2,Median Frequency,2.0,Diagnosis
Malaise And Fatigue,Archetype 2,Frequency per Quarter,0.19,Diagnosis
Malaise And Fatigue,Archetype 2,Frequency per Month,0.06,Diagnosis
Malaise And Fatigue,Archetype 3,Prevalence,0.488,Diagnosis
Malaise And Fatigue,Archetype 3,Mean Frequency,2.83,Diagnosis
Malaise And Fatigue,Archetype 3,Median Frequency,2.0,Diagnosis
Malaise And Fatigue,Archetype 3,Frequency per Quarter,0.09,Diagnosis
Malaise And Fatigue,Archetype 3,Frequency per Month,0.03,Diagnosis
Malaise And Fatigue,Archetype 4,Prevalence,0.709,Diagnosis
Malaise And Fatigue,Archetype 4,Mean Frequency,5.07,Diagnosis
Malaise And Fatigue,Archetype 4,Median Frequency,3.0,Diagnosis
Malaise And Fatigue,Archetype 4,Frequency per Quarter,0.24,Diagnosis
Malaise And Fatigue,Archetype 4,Frequency per Month,0.08,Diagnosis
Malaise And Fatigue,Overall,Prevalence,0.432,Diagnosis
Malaise And Fatigue,Overall,Mean Frequency,2.71,Diagnosis
Malaise And Fatigue,Overall,Median Frequency,2.0,Diagnosis
Malaise And Fatigue,Overall,Frequency per Quarter,0.2,Diagnosis
Malaise And Fatigue,Overall,Frequency per Month,0.09,Diagnosis
Malaise And Fatigue,Standard Deviation,Mean Frequency,1.2,Diagnosis
Malaise And Fatigue,Standard Deviation,Median Frequency,0.71,Diagnosis
Malaise And Fatigue,Standard Deviation,Frequency per Quarter,0.06,Diagnosis
Malaise And Fatigue,Standard Deviation,Frequency per Month,0.04,Diagnosis
Medical Examination Evaluation,Archetype 1,Prevalence,0.233,Diagnosis
Medical Examination Evaluation,Archetype 1,Mean Frequency,1.6,Diagnosis
Medical Examination Evaluation,Archetype 1,Median Frequency,1.0,Diagnosis
Medical Examination Evaluation,Archetype 1,Frequency per Quarter,0.08,Diagnosis
Medical Examination Evaluation,Archetype 1,Frequency per Month,0.04,Diagnosis
Medical Examination Evaluation,Archetype 2,Prevalence,0.467,Diagnosis
Medical Examination Evaluation,Archetype 2,Mean Frequency,2.02,Diagnosis
Medical Examination Evaluation,Archetype 2,Median Frequency,1.0,Diagnosis
Medical Examination Evaluation,Archetype 2,Frequency per Quarter,0.11,Diagnosis
Medical Examination Evaluation,Archetype 2,Frequency per Month,0.04,Diagnosis
Medical Examination Evaluation,Archetype 3,Prevalence,0.544,Diagnosis
Medical Examination Evaluation,Archetype 3,Mean Frequency,2.52,Diagnosis
Medical Examination Evaluation,Archetype 3,Median Frequency,2.0,Diagnosis
Medical Examination Evaluation,Archetype 3,Frequency per Quarter,0.09,Diagnosis
Medical Examination Evaluation,Archetype 3,Frequency per Month,0.03,Diagnosis
Medical Examination Evaluation,Archetype 4,Prevalence,0.711,Diagnosis
Medical Examination Evaluation,Archetype 4,Mean Frequency,3.58,Diagnosis
Medical Examination Evaluation,Archetype 4,Median Frequency,3.0,Diagnosis
Medical Examination Evaluation,Archetype 4,Frequency per Quarter,0.17,Diagnosis
Medical Examination Evaluation,Archetype 4,Frequency per Month,0.06,Diagnosis
Medical Examination Evaluation,Overall,Prevalence,0.388,Diagnosis
Medical Examination Evaluation,Overall,Mean Frequency,2.27,Diagnosis
Medical Examination Evaluation,Overall,Median Frequency,2.0,Diagnosis
Medical Examination Evaluation,Overall,Frequency per Quarter,0.09,Diagnosis
Medical Examination Evaluation,Overall,Frequency per Month,0.04,Diagnosis
Medical Examination Evaluation,Standard Deviation,Mean Frequency,0.74,Diagnosis
Medical Examination Evaluation,Standard Deviation,Median Frequency,0.84,Diagnosis
Medical Examination Evaluation,Standard Deviation,Frequency per Quarter,0.04,Diagnosis
Medical Examination Evaluation,Standard Deviation,Frequency per Month,0.01,Diagnosis
Mood Disorders,Archetype 1,Prevalence,0.101,Diagnosis
Mood Disorders,Archetype 1,Mean Frequency,2.05,Diagnosis
Mood Disorders,Archetype 1,Median Frequency,1.0,Diagnosis
Mood Disorders,Archetype 1,Frequency per Quarter,0.06,Diagnosis
Mood Disorders,Archetype 1,Frequency per Month,0.03,Diagnosis
Mood Disorders,Archetype 2,Prevalence,0.243,Diagnosis
Mood Disorders,Archetype 2,Mean Frequency,4.58,Diagnosis
Mood Disorders,Archetype 2,Median Frequency,2.0,Diagnosis
Mood Disorders,Archetype 2,Frequency per Quarter,0.14,Diagnosis
Mood Disorders,Archetype 2,Frequency per Month,0.05,Diagnosis
Mood Disorders,Archetype 3,Prevalence,0.231,Diagnosis
Mood Disorders,Archetype 3,Mean Frequency,4.3,Diagnosis
Mood Disorders,Archetype 3,Median Frequency,2.0,Diagnosis
Mood Disorders,Archetype 3,Frequency per Quarter,0.06,Diagnosis
Mood Disorders,Archetype 3,Frequency per Month,0.02,Diagnosis
Mood Disorders,Archetype 4,Prevalence,0.479,Diagnosis
Mood Disorders,Archetype 4,Mean Frequency,11.37,Diagnosis
Mood Disorders,Archetype 4,Median Frequency,4.0,Diagnosis
Mood Disorders,Archetype 4,Frequency per Quarter,0.36,Diagnosis
Mood Disorders,Archetype 4,Frequency per Month,0.12,Diagnosis
Mood Disorders,Overall,Prevalence,0.188,Diagnosis
Mood Disorders,Overall,Mean Frequency,5.13,Diagnosis
Mood Disorders,Overall,Median Frequency,2.0,Diagnosis
Mood Disorders,Overall,Frequency per Quarter,0.1,Diagnosis
Mood Disorders,Overall,Frequency per Month,0.04,Diagnosis
Mood Disorders,Standard Deviation,Mean Frequency,3.49,Diagnosis
Mood Disorders,Standard Deviation,Median Frequency,1.1,Diagnosis
Mood Disorders,Standard Deviation,Frequency per Quarter,0.13,Diagnosis
Mood Disorders,Standard Deviation,Frequency per Month,0.04,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 1,Prevalence,0.994,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 1,Mean Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 1,Median Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 1,Frequency per Quarter,0.44,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 1,Frequency per Month,0.27,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 2,Prevalence,0.992,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 2,Mean Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 2,Median Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 2,Frequency per Quarter,0.14,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 2,Frequency per Month,0.05,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 3,Prevalence,0.991,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 3,Mean Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 3,Median Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 3,Frequency per Quarter,0.07,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 3,Frequency per Month,0.02,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 4,Prevalence,0.986,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 4,Mean Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 4,Median Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 4,Frequency per Quarter,0.07,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Archetype 4,Frequency per Month,0.02,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Overall,Prevalence,0.992,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Overall,Mean Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Overall,Median Frequency,1.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Overall,Frequency per Quarter,0.26,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Overall,Frequency per Month,0.15,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Standard Deviation,Mean Frequency,0.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Standard Deviation,Median Frequency,0.0,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Standard Deviation,Frequency per Quarter,0.16,Diagnosis
Myasthenia Gravis With (Acute) Exacerbation,Standard Deviation,Frequency per Month,0.11,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 1,Prevalence,0.005,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 1,Mean Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 1,Median Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 1,Frequency per Quarter,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 1,Frequency per Month,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 2,Prevalence,0.007,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 2,Mean Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 2,Median Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 2,Frequency per Quarter,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 2,Frequency per Month,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 3,Prevalence,0.006,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 3,Mean Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 3,Median Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 3,Frequency per Quarter,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 3,Frequency per Month,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 4,Prevalence,0.01,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 4,Mean Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 4,Median Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 4,Frequency per Quarter,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Archetype 4,Frequency per Month,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Overall,Prevalence,0.006,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Overall,Mean Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Overall,Median Frequency,1.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Overall,Frequency per Quarter,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Overall,Frequency per Month,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Standard Deviation,Mean Frequency,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Standard Deviation,Median Frequency,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Standard Deviation,Frequency per Quarter,0.0,Diagnosis
Myasthenic Syndromes In Other Diseases Classified Elsewhere,Standard Deviation,Frequency per Month,0.0,Diagnosis
Mycoses,Archetype 1,Prevalence,0.05,Diagnosis
Mycoses,Archetype 1,Mean Frequency,1.79,Diagnosis
Mycoses,Archetype 1,Median Frequency,1.0,Diagnosis
Mycoses,Archetype 1,Frequency per Quarter,0.02,Diagnosis
Mycoses,Archetype 1,Frequency per Month,0.01,Diagnosis
Mycoses,Archetype 2,Prevalence,0.133,Diagnosis
Mycoses,Archetype 2,Mean Frequency,2.35,Diagnosis
Mycoses,Archetype 2,Median Frequency,1.0,Diagnosis
Mycoses,Archetype 2,Frequency per Quarter,0.03,Diagnosis
Mycoses,Archetype 2,Frequency per Month,0.01,Diagnosis
Mycoses,Archetype 3,Prevalence,0.144,Diagnosis
Mycoses,Archetype 3,Mean Frequency,2.55,Diagnosis
Mycoses,Archetype 3,Median Frequency,1.0,Diagnosis
Mycoses,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Mycoses,Archetype 3,Frequency per Month,0.01,Diagnosis
Mycoses,Archetype 4,Prevalence,0.315,Diagnosis
Mycoses,Archetype 4,Mean Frequency,3.1,Diagnosis
Mycoses,Archetype 4,Median Frequency,2.0,Diagnosis
Mycoses,Archetype 4,Frequency per Quarter,0.06,Diagnosis
Mycoses,Archetype 4,Frequency per Month,0.02,Diagnosis
Mycoses,Overall,Prevalence,0.108,Diagnosis
Mycoses,Overall,Mean Frequency,2.45,Diagnosis
Mycoses,Overall,Median Frequency,1.0,Diagnosis
Mycoses,Overall,Frequency per Quarter,0.03,Diagnosis
Mycoses,Overall,Frequency per Month,0.01,Diagnosis
Mycoses,Standard Deviation,Mean Frequency,0.47,Diagnosis
Mycoses,Standard Deviation,Median Frequency,0.45,Diagnosis
Mycoses,Standard Deviation,Frequency per Quarter,0.02,Diagnosis
Mycoses,Standard Deviation,Frequency per Month,0.0,Diagnosis
Nausea And Vomiting,Archetype 1,Prevalence,0.055,Diagnosis
Nausea And Vomiting,Archetype 1,Mean Frequency,1.42,Diagnosis
Nausea And Vomiting,Archetype 1,Median Frequency,1.0,Diagnosis
Nausea And Vomiting,Archetype 1,Frequency per Quarter,0.02,Diagnosis
Nausea And Vomiting,Archetype 1,Frequency per Month,0.01,Diagnosis
Nausea And Vomiting,Archetype 2,Prevalence,0.158,Diagnosis
Nausea And Vomiting,Archetype 2,Mean Frequency,2.1,Diagnosis
Nausea And Vomiting,Archetype 2,Median Frequency,1.0,Diagnosis
Nausea And Vomiting,Archetype 2,Frequency per Quarter,0.04,Diagnosis
Nausea And Vomiting,Archetype 2,Frequency per Month,0.01,Diagnosis
Nausea And Vomiting,Archetype 3,Prevalence,0.158,Diagnosis
Nausea And Vomiting,Archetype 3,Mean Frequency,1.84,Diagnosis
Nausea And Vomiting,Archetype 3,Median Frequency,1.0,Diagnosis
Nausea And Vomiting,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Nausea And Vomiting,Archetype 3,Frequency per Month,0.01,Diagnosis
Nausea And Vomiting,Archetype 4,Prevalence,0.378,Diagnosis
Nausea And Vomiting,Archetype 4,Mean Frequency,2.91,Diagnosis
Nausea And Vomiting,Archetype 4,Median Frequency,2.0,Diagnosis
Nausea And Vomiting,Archetype 4,Frequency per Quarter,0.07,Diagnosis
Nausea And Vomiting,Archetype 4,Frequency per Month,0.02,Diagnosis
Nausea And Vomiting,Overall,Prevalence,0.124,Diagnosis
Nausea And Vomiting,Overall,Mean Frequency,2.06,Diagnosis
Nausea And Vomiting,Overall,Median Frequency,1.0,Diagnosis
Nausea And Vomiting,Overall,Frequency per Quarter,0.03,Diagnosis
Nausea And Vomiting,Overall,Frequency per Month,0.01,Diagnosis
Nausea And Vomiting,Standard Deviation,Mean Frequency,0.54,Diagnosis
Nausea And Vomiting,Standard Deviation,Median Frequency,0.45,Diagnosis
Nausea And Vomiting,Standard Deviation,Frequency per Quarter,0.02,Diagnosis
Nausea And Vomiting,Standard Deviation,Frequency per Month,0.0,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 1,Prevalence,0.049,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 1,Mean Frequency,1.55,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 1,Median Frequency,1.0,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 1,Frequency per Quarter,0.02,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 1,Frequency per Month,0.01,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 2,Prevalence,0.133,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 2,Mean Frequency,2.41,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 2,Median Frequency,1.0,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 2,Frequency per Quarter,0.04,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 2,Frequency per Month,0.01,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 3,Prevalence,0.153,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 3,Mean Frequency,2.67,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 3,Median Frequency,1.0,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 3,Frequency per Quarter,0.03,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 3,Frequency per Month,0.01,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 4,Prevalence,0.251,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 4,Mean Frequency,3.6,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 4,Median Frequency,1.0,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 4,Frequency per Quarter,0.06,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Archetype 4,Frequency per Month,0.02,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Overall,Prevalence,0.105,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Overall,Mean Frequency,2.52,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Overall,Median Frequency,1.0,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Overall,Frequency per Quarter,0.03,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Overall,Frequency per Month,0.01,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Standard Deviation,Mean Frequency,0.73,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Standard Deviation,Median Frequency,0.0,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Standard Deviation,Frequency per Quarter,0.02,Diagnosis
Neoplasms Of Unspecified Nature Or Uncertain Behavior,Standard Deviation,Frequency per Month,0.0,Diagnosis
Nonspecific Chest Pain,Archetype 1,Prevalence,0.148,Diagnosis
